1,JAMES,0.0332,10835570,MARY,0.0263,8585507
2,JOHN,0.0327,10682082,PATRICIA,0.0107,3504089
3,ROBERT,0.0314,10264073,LINDA,0.0104,3379992
4,MICHAEL,0.0263,8585507,BARBARA,0.0098,3200379
5,WILLIAM,0.0245,8004214,ELIZABETH,0.0094,3059954
6,DAVID,0.0236,7716833,JENNIFER,0.0093,3043626
7,RICHARD,0.017,5561475,MARIA,0.0083,2703994
8,CHARLES,0.0152,4973651,SUSAN,0.0079,2592960
9,JOSEPH,0.014,4585033,MARGARET,0.0077,2508052
10,THOMAS,0.0138,4506656,DOROTHY,0.0073,2374159
11,CHRISTOPHER,0.0104,3379992,LISA,0.007,2299048
12,DANIEL,0.0097,3180785,NANCY,0.0067,2184749
13,PAUL,0.0095,3095877,KAREN,0.0067,2178217
14,MARK,0.0094,3063220,BETTY,0.0067,2174952
15,DONALD,0.0093,3040360,HELEN,0.0066,2165155
16,GEORGE,0.0093,3027297,SANDRA,0.0063,2054121
17,KENNETH,0.0083,2697462,DONNA,0.0058,1903899
18,STEVEN,0.0078,2547241,CAROL,0.0057,1845117
19,EDWARD,0.0078,2543975,RUTH,0.0056,1835320
20,BRIAN,0.0074,2403550,SHARON,0.0052,1704692
21,RONALD,0.0073,2367627,MICHELLE,0.0052,1694895
22,ANTHONY,0.0072,2354565,LAURA,0.0051,1665503
23,KEVIN,0.0067,2191280,SARAH,0.0051,1658972
24,JASON,0.0066,2155357,KIMBERLY,0.005,1645909
25,MATTHEW,0.0066,2145560,DEBORAH,0.0049,1613252
26,GARY,0.0065,2122701,JESSICA,0.0049,1600190
27,TIMOTHY,0.0064,2090044,SHIRLEY,0.0048,1574064
28,JOSE,0.0061,2001870,CYNTHIA,0.0047,1531610
29,LARRY,0.006,1952884,ANGELA,0.0047,1528344
30,JEFFREY,0.0059,1930025,MELISSA,0.0046,1508750
31,FRANK,0.0058,1897368,BRENDA,0.0046,1485890
32,SCOTT,0.0055,1783068,AMY,0.0045,1472828
33,ERIC,0.0054,1776537,ANNA,0.0044,1436905
34,STEPHEN,0.0054,1763474,REBECCA,0.0043,1404248
35,ANDREW,0.0054,1753677,VIRGINIA,0.0043,1404248
36,RAYMOND,0.0049,1593658,KATHLEEN,0.0042,1384654
37,GREGORY,0.0044,1440171,PAMELA,0.0042,1358528
38,JOSHUA,0.0044,1420576,MARTHA,0.0041,1345466
39,JERRY,0.0043,1410779,DEBRA,0.0041,1332403
40,DENNIS,0.0042,1355263,AMANDA,0.004,1319340
41,WALTER,0.004,1303012,STEPHANIE,0.004,1306277
42,PATRICK,0.0039,1270355,CAROLYN,0.0039,1257292
43,PETER,0.0038,1244229,CHRISTINE,0.0038,1247495
44,HAROLD,0.0037,1211572,MARIE,0.0038,1237698
45,DOUGLAS,0.0037,1198509,JANET,0.0038,1237698
46,HENRY,0.0037,1191978,CATHERINE,0.0037,1218104
47,CARL,0.0035,1129930,FRANCES,0.0037,1208306
48,ARTHUR,0.0034,1094007,ANN,0.0036,1188712
49,RYAN,0.0033,1071147,JOYCE,0.0036,1188712
50,ROGER,0.0032,1051553,DIANE,0.0036,1172384
51,JOE,0.0032,1048287,ALICE,0.0036,1165852
52,JUAN,0.0032,1031959,JULIE,0.0035,1136461
53,JACK,0.0032,1028693,HEATHER,0.0034,1100539
54,ALBERT,0.0031,1025428,TERESA,0.0034,1097273
55,JONATHAN,0.0031,1022162,DORIS,0.0034,1094007
56,JUSTIN,0.0031,1015631,GLORIA,0.0034,1094007
57,TERRY,0.0031,1015631,EVELYN,0.0032,1051553
58,GERALD,0.0031,1009099,JEAN,0.0032,1028693
59,KEITH,0.0031,1005833,CHERYL,0.0032,1028693
60,SAMUEL,0.0031,999302,MILDRED,0.0031,1022162
61,WILLIE,0.003,986239,KATHERINE,0.0031,1022162
62,RALPH,0.0028,920925,JOAN,0.0031,999302
63,LAWRENCE,0.0028,920925,ASHLEY,0.003,989505
64,NICHOLAS,0.0028,898066,JUDITH,0.003,969911
65,ROY,0.0027,891534,ROSE,0.003,966645
66,BENJAMIN,0.0027,881737,JANICE,0.0029,930723
67,BRUCE,0.0026,858877,KELLY,0.0028,924191
68,BRANDON,0.0026,849080,NICOLE,0.0028,917660
69,ADAM,0.0026,845815,JUDY,0.0028,901331
70,HARRY,0.0025,819689,CHRISTINA,0.0028,898066
71,FRED,0.0025,819689,KATHY,0.0027,888269
72,WAYNE,0.0025,813158,THERESA,0.0027,885003
73,BILLY,0.0025,809892,BEVERLY,0.0027,871940
74,STEVE,0.0025,803360,DENISE,0.0026,862143
75,LOUIS,0.0024,793563,TAMMY,0.0026,845815
76,JEREMY,0.0024,790298,IRENE,0.0025,822955
77,AARON,0.0024,783766,JANE,0.0025,816423
78,RANDY,0.0023,757641,LORI,0.0025,809892
79,HOWARD,0.0023,751109,RACHEL,0.0024,790298
80,EUGENE,0.0023,751109,MARILYN,0.0024,787032
81,CARLOS,0.0023,747844,ANDREA,0.0024,770704
82,RUSSELL,0.0022,731515,KATHRYN,0.0023,764172
83,BOBBY,0.0022,728250,LOUISE,0.0023,747844
84,VICTOR,0.0022,724984,SARA,0.0023,747844
85,MARTIN,0.0022,705390,ANNE,0.0023,744578
86,ERNEST,0.0022,702124,JACQUELINE,0.0023,744578
87,PHILLIP,0.0021,695593,WANDA,0.0023,738047
88,TODD,0.0021,695593,BONNIE,0.0022,728250
89,JESSE,0.0021,682530,JULIA,0.0022,728250
90,CRAIG,0.0021,672733,RUBY,0.0022,721718
91,ALAN,0.002,666201,LOIS,0.0022,718452
92,SHAWN,0.002,653139,TINA,0.0022,718452
93,CLARENCE,0.002,643342,PHYLLIS,0.0022,715187
94,SEAN,0.002,643342,NORMA,0.0022,711921
95,PHILIP,0.002,643342,PAULA,0.0022,708655
96,CHRIS,0.002,643342,DIANA,0.0022,705390
97,JOHNNY,0.002,636810,ANNIE,0.0022,705390
98,EARL,0.0019,630279,LILLIAN,0.0021,689061
99,JIMMY,0.0019,623747,EMILY,0.0021,679264
100,ANTONIO,0.0019,620482,ROBIN,0.0021,679264
101,DANNY,0.0019,620482,PEGGY,0.0021,679264
102,BRYAN,0.0019,620482,CRYSTAL,0.0021,675998
103,TONY,0.0019,620482,GLADYS,0.0021,669467
104,LUIS,0.0019,617216,RITA,0.002,666201
105,MIKE,0.0019,617216,DAWN,0.002,659670
106,STANLEY,0.0019,607419,CONNIE,0.002,653139
107,LEONARD,0.0019,607419,FLORENCE,0.002,653139
108,NATHAN,0.0019,604153,TRACY,0.002,643342
109,DALE,0.0018,600888,EDNA,0.002,643342
110,MANUEL,0.0018,591090,TIFFANY,0.002,636810
111,RODNEY,0.0018,587825,CARMEN,0.002,636810
112,CURTIS,0.0018,587825,ROSA,0.0019,633544
113,NORMAN,0.0018,578028,CINDY,0.0019,627013
114,ALLEN,0.0017,568231,GRACE,0.0019,617216
115,MARVIN,0.0017,558434,WENDY,0.0019,604153
116,VINCENT,0.0017,548636,VICTORIA,0.0018,587825
117,GLENN,0.0017,545371,EDITH,0.0018,584559
118,JEFFERY,0.0017,542105,KIM,0.0018,581293
119,TRAVIS,0.0017,542105,SHERRY,0.0018,581293
120,JEFF,0.0017,542105,SYLVIA,0.0018,578028
121,CHAD,0.0017,538839,JOSEPHINE,0.0018,578028
122,JACOB,0.0017,538839,THELMA,0.0018,571496
123,LEE,0.0016,529042,SHANNON,0.0018,571496
124,MELVIN,0.0016,529042,SHEILA,0.0018,571496
125,ALFRED,0.0016,529042,ETHEL,0.0017,568231
126,KYLE,0.0016,522511,ELLEN,0.0017,564965
127,FRANCIS,0.0016,522511,ELAINE,0.0017,564965
128,BRADLEY,0.0016,519245,MARJORIE,0.0017,564965
129,JESUS,0.0016,506182,CARRIE,0.0017,558434
130,HERBERT,0.0016,506182,CHARLOTTE,0.0017,551902
131,FREDERICK,0.0015,502917,MONICA,0.0017,542105
132,RAY,0.0015,499651,ESTHER,0.0017,542105
133,JOEL,0.0015,496385,PAULINE,0.0017,538839
134,EDWIN,0.0015,483323,EMMA,0.0017,538839
135,DON,0.0015,473525,JUANITA,0.0016,535574
136,EDDIE,0.0014,470260,ANITA,0.0016,529042
137,RICKY,0.0014,460463,RHONDA,0.0016,529042
138,TROY,0.0014,450666,HAZEL,0.0016,525777
139,RANDALL,0.0014,450666,AMBER,0.0016,522511
140,BARRY,0.0013,437603,EVA,0.0016,519245
141,ALEXANDER,0.0013,431071,DEBBIE,0.0016,512714
142,BERNARD,0.0013,414743,APRIL,0.0015,502917
143,MARIO,0.0013,408212,LESLIE,0.0015,502917
144,LEROY,0.0013,408212,CLARA,0.0015,499651
145,FRANCISCO,0.0012,404946,LUCILLE,0.0015,499651
146,MARCUS,0.0012,404946,JAMIE,0.0015,499651
147,MICHEAL,0.0012,401680,JOANNE,0.0015,489854
148,THEODORE,0.0012,401680,ELEANOR,0.0015,489854
149,CLIFFORD,0.0012,401680,VALERIE,0.0015,486588
150,MIGUEL,0.0012,398415,DANIELLE,0.0015,486588
151,OSCAR,0.0012,398415,MEGAN,0.0015,480057
152,JAY,0.0012,385352,ALICIA,0.0015,476791
153,JIM,0.0012,385352,SUZANNE,0.0015,473525
154,TOM,0.0012,382086,MICHELE,0.0015,473525
155,CALVIN,0.0012,375555,GAIL,0.0015,473525
156,ALEX,0.0012,375555,BERTHA,0.0014,466994
157,JON,0.0012,375555,DARLENE,0.0014,463728
158,RONNIE,0.0011,369023,VERONICA,0.0014,463728
159,BILL,0.0011,365758,JILL,0.0014,463728
160,LLOYD,0.0011,365758,ERIN,0.0014,460463
161,TOMMY,0.0011,365758,GERALDINE,0.0014,460463
162,LEON,0.0011,365758,LAUREN,0.0014,447400
163,DEREK,0.0011,365758,CATHY,0.0014,447400
164,WARREN,0.0011,359226,JOANN,0.0014,444134
165,DARRELL,0.0011,352695,LORRAINE,0.0014,440869
166,JEROME,0.0011,352695,LYNN,0.0014,440869
167,FLOYD,0.0011,349429,SALLY,0.0014,440869
168,LEO,0.0011,346163,REGINA,0.0013,434337
169,ALVIN,0.0011,342898,ERICA,0.0013,424540
170,TIM,0.001,339632,BEATRICE,0.0013,424540
171,WESLEY,0.001,339632,DOLORES,0.0013,421274
172,GORDON,0.001,339632,BERNICE,0.0013,418009
173,DEAN,0.001,339632,AUDREY,0.0013,414743
174,GREG,0.001,339632,YVONNE,0.0013,411477
175,JORGE,0.001,339632,ANNETTE,0.0013,408212
176,DUSTIN,0.001,336366,JUNE,0.0013,408212
177,PEDRO,0.001,336366,SAMANTHA,0.0012,404946
178,DERRICK,0.001,336366,MARION,0.0012,398415
179,DAN,0.001,329835,DANA,0.0012,398415
180,LEWIS,0.001,323304,STACY,0.0012,395149
181,ZACHARY,0.001,323304,ANA,0.0012,391883
182,COREY,0.001,320038,RENEE,0.0012,391883
183,HERMAN,0.001,316772,IDA,0.0012,385352
184,MAURICE,0.001,316772,VIVIAN,0.0012,385352
185,VERNON,0.001,316772,ROBERTA,0.0012,382086
186,ROBERTO,0.001,316772,HOLLY,0.0012,382086
187,CLYDE,0.001,310241,BRITTANY,0.0012,382086
188,GLEN,0.0009,306975,MELANIE,0.0012,378820
189,HECTOR,0.0009,306975,LORETTA,0.0012,375555
190,SHANE,0.0009,303709,YOLANDA,0.0012,375555
191,RICARDO,0.0009,303709,JEANETTE,0.0012,375555
192,SAM,0.0009,300444,LAURIE,0.0011,372289
193,RICK,0.0009,297178,KATIE,0.0011,369023
194,LESTER,0.0009,297178,KRISTEN,0.0011,362492
195,BRENT,0.0009,293912,VANESSA,0.0011,362492
196,RAMON,0.0009,293912,ALMA,0.0011,362492
197,CHARLIE,0.0009,293912,SUE,0.0011,362492
198,TYLER,0.0009,290647,ELSIE,0.0011,359226
199,GILBERT,0.0009,290647,BETH,0.0011,359226
200,GENE,0.0009,284115,JEANNE,0.0011,355961
201,MARC,0.0009,284115,VICKI,0.0011,355961
202,REGINALD,0.0008,274318,CARLA,0.0011,349429
203,RUBEN,0.0008,267787,TARA,0.0011,349429
204,BRETT,0.0008,267787,ROSEMARY,0.0011,349429
205,ANGEL,0.0008,267787,EILEEN,0.0011,342898
206,NATHANIEL,0.0008,264521,TERRI,0.0011,342898
207,RAFAEL,0.0008,264521,GERTRUDE,0.001,336366
208,LESLIE,0.0008,264521,LUCY,0.001,336366
209,EDGAR,0.0008,261255,TONYA,0.001,333101
210,MILTON,0.0008,261255,ELLA,0.001,329835
211,RAUL,0.0008,257990,STACEY,0.001,329835
212,BEN,0.0008,254724,WILMA,0.001,323304
213,CHESTER,0.0008,254724,GINA,0.001,323304
214,CECIL,0.0008,254724,KRISTIN,0.001,323304
215,DUANE,0.0008,251458,JESSIE,0.001,320038
216,FRANKLIN,0.0008,251458,NATALIE,0.001,320038
217,ANDRE,0.0008,248193,AGNES,0.001,320038
218,ELMER,0.0007,241661,VERA,0.001,320038
219,BRAD,0.0007,238396,WILLIE,0.001,316772
220,GABRIEL,0.0007,238396,CHARLENE,0.001,316772
221,RON,0.0007,235130,BESSIE,0.001,313507
222,MITCHELL,0.0007,235130,DELORES,0.001,310241
223,ROLAND,0.0007,235130,MELINDA,0.0009,306975
224,ARNOLD,0.0007,235130,PEARL,0.0009,306975
225,HARVEY,0.0007,235130,ARLENE,0.0009,306975
226,JARED,0.0007,231864,MAUREEN,0.0009,300444
227,ADRIAN,0.0007,225333,COLLEEN,0.0009,300444
228,KARL,0.0007,225333,ALLISON,0.0009,300444
229,CORY,0.0007,222067,TAMARA,0.0009,300444
230,CLAUDE,0.0007,222067,JOY,0.0009,297178
231,ERIK,0.0007,222067,GEORGIA,0.0009,297178
232,DARRYL,0.0007,218801,CONSTANCE,0.0009,297178
233,JAMIE,0.0007,215536,LILLIE,0.0009,293912
234,NEIL,0.0007,215536,CLAUDIA,0.0009,293912
235,JESSIE,0.0007,212270,JACKIE,0.0009,293912
236,CHRISTIAN,0.0007,212270,MARCIA,0.0009,293912
237,JAVIER,0.0007,212270,TANYA,0.0009,290647
238,FERNANDO,0.0007,212270,NELLIE,0.0009,290647
239,CLINTON,0.0007,212270,MINNIE,0.0009,290647
240,TED,0.0006,209004,MARLENE,0.0009,287381
241,MATHEW,0.0006,209004,HEIDI,0.0009,287381
242,TYRONE,0.0006,209004,GLENDA,0.0009,287381
243,DARREN,0.0006,209004,LYDIA,0.0009,280850
244,LONNIE,0.0006,209004,VIOLA,0.0009,280850
245,LANCE,0.0006,205739,COURTNEY,0.0009,280850
246,CODY,0.0006,205739,MARIAN,0.0009,280850
247,JULIO,0.0006,205739,STELLA,0.0009,277584
248,KELLY,0.0006,205739,CAROLINE,0.0009,277584
249,KURT,0.0006,202473,DORA,0.0008,274318
250,ALLAN,0.0006,199207,JO,0.0008,271053
251,NELSON,0.0006,199207,VICKIE,0.0008,267787
252,GUY,0.0006,195942,MATTIE,0.0008,264521
253,CLAYTON,0.0006,195942,TERRY,0.0008,261255
254,HUGH,0.0006,195942,MAXINE,0.0008,257990
255,MAX,0.0006,192676,IRMA,0.0008,257990
256,DWAYNE,0.0006,192676,MABEL,0.0008,254724
257,DWIGHT,0.0006,189410,MARSHA,0.0008,254724
258,ARMANDO,0.0006,189410,MYRTLE,0.0008,254724
259,FELIX,0.0006,189410,LENA,0.0008,251458
260,JIMMIE,0.0006,189410,CHRISTY,0.0008,251458
261,EVERETT,0.0006,186145,DEANNA,0.0008,248193
262,JORDAN,0.0006,182879,PATSY,0.0008,248193
263,IAN,0.0006,182879,HILDA,0.0008,244927
264,WALLACE,0.0006,182879,GWENDOLYN,0.0007,241661
265,KEN,0.0006,179613,JENNIE,0.0007,238396
266,BOB,0.0006,179613,NORA,0.0007,238396
267,JAIME,0.0006,179613,MARGIE,0.0007,235130
268,CASEY,0.0005,176347,NINA,0.0007,235130
269,ALFREDO,0.0005,176347,CASSANDRA,0.0007,235130
270,ALBERTO,0.0005,173082,LEAH,0.0007,235130
271,DAVE,0.0005,173082,PENNY,0.0007,231864
272,IVAN,0.0005,173082,KAY,0.0007,231864
273,JOHNNIE,0.0005,169816,PRISCILLA,0.0007,231864
274,SIDNEY,0.0005,169816,NAOMI,0.0007,231864
275,BYRON,0.0005,169816,CAROLE,0.0007,231864
276,JULIAN,0.0005,169816,BRANDY,0.0007,228599
277,ISAAC,0.0005,166550,OLGA,0.0007,228599
278,MORRIS,0.0005,166550,BILLIE,0.0007,225333
279,CLIFTON,0.0005,163285,DIANNE,0.0007,225333
280,WILLARD,0.0005,163285,TRACEY,0.0007,225333
281,DARYL,0.0005,163285,LEONA,0.0007,225333
282,ROSS,0.0005,163285,JENNY,0.0007,222067
283,VIRGIL,0.0005,160019,FELICIA,0.0007,222067
284,ANDY,0.0005,160019,SONIA,0.0007,222067
285,MARSHALL,0.0005,160019,MIRIAM,0.0007,215536
286,SALVADOR,0.0005,160019,VELMA,0.0007,215536
287,PERRY,0.0005,160019,BECKY,0.0007,215536
288,KIRK,0.0005,160019,BOBBIE,0.0007,212270
289,SERGIO,0.0005,160019,VIOLET,0.0007,212270
290,MARION,0.0005,156753,KRISTINA,0.0007,212270
291,TRACY,0.0005,156753,TONI,0.0006,209004
292,SETH,0.0005,156753,MISTY,0.0006,205739
293,KENT,0.0005,156753,MAE,0.0006,205739
294,TERRANCE,0.0005,156753,SHELLY,0.0006,202473
295,RENE,0.0005,156753,DAISY,0.0006,202473
296,EDUARDO,0.0005,153488,RAMONA,0.0006,202473
297,TERRENCE,0.0005,153488,SHERRI,0.0006,202473
298,ENRIQUE,0.0005,150222,ERIKA,0.0006,199207
299,FREDDIE,0.0005,150222,KATRINA,0.0006,199207
300,WADE,0.0005,146956,CLAIRE,0.0006,199207
301,AUSTIN,0.0004,143690,LINDSEY,0.0006,195942
302,STUART,0.0004,143690,LINDSAY,0.0006,195942
303,FREDRICK,0.0004,140425,GENEVA,0.0006,192676
304,ARTURO,0.0004,140425,GUADALUPE,0.0006,192676
305,ALEJANDRO,0.0004,140425,BELINDA,0.0006,192676
306,JACKIE,0.0004,140425,MARGARITA,0.0006,192676
307,JOEY,0.0004,140425,SHERYL,0.0006,192676
308,NICK,0.0004,140425,CORA,0.0006,189410
309,LUTHER,0.0004,140425,FAYE,0.0006,189410
310,WENDELL,0.0004,137159,ADA,0.0006,186145
311,JEREMIAH,0.0004,137159,NATASHA,0.0006,186145
312,EVAN,0.0004,137159,SABRINA,0.0006,186145
313,JULIUS,0.0004,137159,ISABEL,0.0006,186145
314,DANA,0.0004,137159,MARGUERITE,0.0006,182879
315,DONNIE,0.0004,133893,HATTIE,0.0006,182879
316,OTIS,0.0004,133893,HARRIET,0.0006,182879
317,SHANNON,0.0004,130628,MOLLY,0.0006,179613
318,TREVOR,0.0004,130628,CECILIA,0.0006,179613
319,OLIVER,0.0004,130628,KRISTI,0.0006,179613
320,LUKE,0.0004,130628,BRANDI,0.0006,179613
321,HOMER,0.0004,130628,BLANCHE,0.0006,179613
322,GERARD,0.0004,130628,SANDY,0.0006,179613
323,DOUG,0.0004,130628,ROSIE,0.0006,179613
324,KENNY,0.0004,127362,JOANNA,0.0006,179613
325,HUBERT,0.0004,127362,IRIS,0.0006,179613
326,ANGELO,0.0004,127362,EUNICE,0.0005,176347
327,SHAUN,0.0004,127362,ANGIE,0.0005,176347
